,default,+optimize compiler,+minimize t_cose,+minimize mbedtls,+minimize libcsuit
SUIT Manifest 0,237,237,237,237,237
app,308,292,292,292,283
libcsuit,27282,18877,18877,18866,8395
t_cose,4651,2781,2313,2289,2289
QCBOR,16837,7451,6702,6702,6499
psa,45146,9654,9654,5784,5784
mbedtls,282576,170754,170754,25682,25682
other,153099,86594,87811,39900,38295
TOTAL,530136,296640,296640,99752,87464
