,default,+optimize compiler,+minimize t_cose&mbedtls,+minimize libcsuit
Example 0,237,237,237,237
app,305,289,289,280
libcsuit,43365,20238,20227,7202
t_cose,4651,2781,2289,2289
QCBOR,16837,7451,6702,6499
psa,45146,9654,5784,5784
Mbed TLS,282576,170754,25682,25682
other,165691,93428,63366,35395
TOTAL,558808,304832,124576,83368
